place_name,diacritized_arabic,english_transliteration
الشيخ عثمان,الشَيْخ عُثْمان,Al-Shaykh Uthman
الطريّة,الطَرِيَّة,Al-Taryyaa
الوضيع,الوَضِيع,Al-Wadi'
الصبَّيحة,الصبَّيحة,Al-Sabayha
وادي حضرموت,وادِي حَضْرَمَوْت,Wadi Hadramawt
دار المناصرة,دار المُناصِرَة,Dar Al-Munasiraa
شعب العيدروس,شَعْب العيدروس,Sha'b Al-Aidaroos
المظفر,المُظَفَّر,Al-Mudhaffar
الضالع,الضالِع,Al-Dali'
المضاربة و رأس العارة,المُضارِبَة و راس العارة,Al-Mudaribaa W Ras Al-'ara
رأس مربط,راس مَرْبِط,Ras Marbit
القاهرة,القاهِرَة,Al-Qahiraa
كود بيحان,كَوَّدَ بيحان,Kawwada Byhan
صبِر,صَبْر,Sabr
